Flyby,Sequence,Year,Month,Day,Date,Date_2,DOY,C/A_Time,Alt,Mission,Orbit
T109,S87,2015,02,12,2015/02/12,"February 12, 2015",043,043T17:08:05,1200,Solstice,Inclined - 1
T110,S88,2015,03,16,2015/03/16,"March 16, 2015",075,075T14:29:49,2275,Solstice,Inclined - 1
T111,S89,2015,05,07,2015/05/07,"May 7, 2015",127,127T22:50:25,2722,Solstice,Equatorial - 2
T112,S89,2015,07,07,2015/07/07,"July 7, 2015",188,188T08:09:51,1095,Solstice,Equatorial - 2
T113,S91,2015,09,28,2015/09/28,"September 28, 2015",271,271T21:37:14,1036,Solstice,Equatorial - 2
T114,S91,2015,11,13,2015/11/13,"November 13, 2015",317,317T05:46:35,1192,Solstice,Equatorial - 2
T115,S92,2016,01,16,2016/01/16,"January 16, 2016",016,016T02:20:52,3817,Solstice,Inclined - 2
T116,S92,2016,02,01,2016/02/01,"February 1, 2016",032,032T01:01:26,1400,Solstice,Inclined - 2
T117,S93,2016,02,16,2016/02/16,"February 16, 2016",047,047T23:52:04,1018,Solstice,Inclined - 2
T118,S93,2016,04,04,2016/04/04,"April 4, 2016",095,095T19:48:00,990,Solstice,Inclined - 2
T119,S94,2016,05,06,2016/05/06,"May 6, 2016",127,127T17:00:45,971,Solstice,Inclined - 2
T120,S94,2016,06,07,2016/06/07,"June 7, 2016",159,159T14:12:38,975,Solstice,Inclined - 2
T121,S95,2016,07,25,2016/07/25,"July 25, 2016",207,207T10:04:40,976,Solstice,Inclined - 2
T122,S95,2016,08,10,2016/08/10,"August 10, 2016",223,223T08:37:15,1600,Solstice,Inclined - 2
T123,S96,2016,09,27,2016/09/27,"September 27, 2016",271,271T04:23:01,1737,Solstice,Inclined - 2
T124,S96,2016,11,14,2016/11/14,"November 14, 2016",319,319T00:01:44,1581,Solstice,Inclined - 2
T125,S97,2016,11,29,2016/11/29,"November 29, 2016",334,334T22:20:20,3223,Solstice,Inclined - 2
T126,S99,2017,04,22,2017/04/22,"April 22, 2017",112,112T06:19:46,979,Solstice,F
